77;Red Hot Chili Peppers;REDHOTCHILIPEPPERS;By The Way;15/06/2002
78;Red Hot Chili Peppers;REDHOTCHILIPEPPERS;The Zephyr Song;09/11/2002
79;Beck;BECK;Loser;29/01/1994
80;Beck;BECK;Jack-Ass;13/09/1997
81;Beck;BECK;The New Pollution;31/05/1997
82;Don Henley;DONHENLEY;All She Wants to Do Is Dance;23/02/1985
83;Don Henley;DONHENLEY;Sunset Grill;31/08/1985
84;Don Henley;DONHENLEY;The Heart Of The Matter;17/02/1990
85;Don Henley;DONHENLEY;The Last Worthless Evening;07/10/1989
86;Eagles;EAGLES;Get Over It;29/10/1994
87;Eagles;EAGLES;Hotel California;26/02/1977
88;Eagles;EAGLES;Take It Easy;03/06/1972
89;Eagles;EAGLES;Tequila Sunrise;23/06/1973
90;James Taylor;JAMESTAYLOR;Carolina In My Mind;14/11/1970
91;James Taylor;JAMESTAYLOR;Shower The People;03/07/1976
92;Stephen Bishop;STEPHENBISHOP;Animal House;23/12/1978
93;Weezer;WEEZER;Undone - The Sweater Song;01/10/1994
94;The Wallflowers;WALLFLOWERS;Sleepwalker;28/10/2000
95;Pearl Jam;PEARLJAM;Given To Fly;24/01/1998
96;Garbage;GARBAGE;Only Happy When It Rains;09/03/1996
97;James Taylor;JAMESTAYLOR;You've Got A Friend;05/06/1971
98;The Monkees;MONKEES;Porpoise Song;12/10/1968
99;Alice Cooper;ALICECOOPER;Department Of Youth;16/08/1975
100;Alice Cooper;ALICECOOPER;Only Women;05/04/1975
101;Dixie Chicks;DIXIECHICKS;There s Your Trouble;16/05/1998
102;Dixie Chicks;DIXIECHICKS;Wide Open Spaces;05/09/1998
103;Dixie Chicks;DIXIECHICKS;You Were Mine;23/01/1999
104;Badfinger;BADFINGER;Love Is Gonna Come At Last;07/04/1979
105;Blake Shelton;BLAKESHELTON;Austin;26/05/2001
106;Christina Aguilera;CHRISTINAAGUILERA;I Turn To You;15/04/2000
107;Electric Light Orchestra;ELECTRICLIGHTORCHESTRA;Strange Magic;13/03/1976
108;Electric Light Orchestra;ELECTRICLIGHTORCHESTRA;Sweet Talkin' Woman;18/02/1978
109;Frank Zappa;FRANKZAPPA;Valley Girl;17/07/1982
110;Grandmaster Flash;GRANDMASTERFLASH;The Message;16/10/1982
111;Jennifer Lopez Featuring Big Pun ;JENNIFERLOPEZ;Feelin  So Good;19/02/2000
112;Red Hot Chili Peppers;REDHOTCHILIPEPPERS;Can't Stop;08/02/2003
113;Smash Mouth;SMASHMOUTH;Then The Morning Comes;30/10/1999
114;Garbage;GARBAGE;Vow;29/07/1995
115;Pearl Jam;PEARLJAM;Wishlist;23/05/1998
116;Mary J. Blige;MARYJBLIGE;All That I Can Say;24/07/1999
117;Mary J. Blige;MARYJBLIGE;Deep Inside;13/11/1999
118;The Bee Gees;BEEGEES;Jive Talkin';31/05/1975
119;Bob Geldof;BOBGELDOF;This Is The World Calling;13/12/1986
120;Eddy Grant;EDDYGRANT;Electric Avenue;16/04/1983
121;Eddy Grant;EDDYGRANT;I Don't Wanna Dance;13/08/1983
122;Gerry Rafferty;GERRYRAFFERTY;Baker Street;22/04/1978
123;James Ingram With Michael McDonald;JAMESINGRAMWITHMICHAELMCDONALD;Yah Mo B There;10/12/1983
124;Madonna;MADONNA;Crazy For You;02/03/1985
125;Michael McDonald;MICHAELMCDONALD;I Keep Forgettin' (Every Time You're Near);07/08/1982
126;Michael McDonald;MICHAELMCDONALD;No Lookin  Back;27/07/1985
127;Michael McDonald;MICHAELMCDONALD;Sweet Freedom (Theme From Running Scared);14/06/1986
128;Michael McDonald;MICHAELMCDONALD;Take It To Heart;09/06/1990
129;Sunshine Anderson;SUNSHINEANDERSON;Heard It All Before;10/03/2001
